留言主题,clean_review,cut_review,地区,关键词,留言详情中的实体,留言主题中的实体
咨询A市幼儿园在筹设期间能否招生办学？,咨询A市幼儿园在筹设期间能否招生办学,咨询 A市 幼儿园 筹设 期间 招生 办学,A市,"['筹设', 'A市', '办学', '招生', '幼儿园']","['A市动物园', 'A市A2区', 'A市', 'A市动物园']",['A市']
A市职业技术学院学生宿舍没有空调,A市职业技术学院学生宿舍没有空调,A市 职业 技术 学院 学生宿舍 空调,A市,"['A市', '学生宿舍', '空调', '职业', '学院']","['A3区第一小学', 'A3区一小', '岳路', '望岳', '美聚龙楚新能源公司', 'A3区', '白咀', 'A市', 'A市政府', '西地省', 'A市', '聚龙楚公司', 'A市', 'A3区第一小学']",['A市职业技术学院']
咨询转业安置A市相关政策,咨询转业安置A市相关政策,咨询 转业 安置 A市 相关 政策,A市,"['A市', '转业', '安置', '咨询', '相关']","['A市', 'A市', '尚需', 'A市']",['A市']
A市木莲中路百米人行道路狭窄,A市木莲中路百米人行道路狭窄,A市 木莲 中路 百米 人行道 路 狭窄,A市,"['A市', '木莲', '人行道', '百米', '中路']","['楚江工贸技工学校', 'A市', '楚江工贸技工学校']",['A市']
A市也会全面实行垃圾分类吗？,A市也会全面实行垃圾分类吗,A市 实行 垃圾 分类,A市,"['A市', '垃圾', '分类', '实行']","['权健', '查才', '山海']",['A市']
A市广济桥步步高超市前电动车占道问题严重,A市广济桥步步高超市前电动车占道问题严重,A市 广济桥 步步高 超市 前 电动车 占 道,A市,"['广济桥', 'A市', '步步高', '超市', '电动车']","['六路', 'A市', '龙华路', '四路远大路', '东路', '四路', '东路', '四路', '陶公庙']",['A市广济桥']
举报A市自梦强数码科技有限公司虚假宣传,举报A市自梦强数码科技有限公司虚假宣传,举报 A市 自梦强 数码科技 有限公司 虚假 宣传,A市,"['数码科技', 'A市', '自梦强', '虚假', '举报']","['A市', 'A3区', '西城龙庭小区']",['A市自梦强数码科技有限公司']
A市自梦强数码科技有限公司虚假宣传，误导消费者,A市自梦强数码科技有限公司虚假宣传误导消费者,A市 自梦强 数码科技 有限公司 虚假 宣传 误导 消费者,A市,"['数码科技', 'A市', '自梦强', '误导', '虚假']",['中南大宗商品电子商务有限公司'],['A市自梦强数码科技有限公司']
投诉A市伊景园滨河院捆绑销售车位,投诉A市伊景园滨河院捆绑销售车位,投诉 A市 伊 景园 滨河 院 捆绑 销售 车位,A市,"['景园', 'A市', '滨河', '车位', '捆绑']",['中南大宗商品电子商务有限公司'],['A市伊景园滨河院']
A市的垃圾分类会不会像上海那样严格罚款,A市的垃圾分类会不会像上海那样严格罚款,A市 垃圾 分类 上海 罚款,A市,"['A市', '垃圾', '罚款', '分类', '上海']","['中茂城', '金科', '南路', '漓楚路']","['A市', '上海']"
请整治一下A市汽车北站的路霸,请整治一下A市汽车北站的路霸,请 整治 A市 汽车 北站 路霸,A市,"['A市', '路霸', '北站', '整治', '汽车']",['湖东几路'],['A市']
投诉A市一中高一年级通过家委会各种收费,投诉A市一中高一年级通过家委会各种收费,投诉 A市 一中 高一 年级 家委会 收费,A市,"['A市', '家委会', '年级', '高一', '一中']",[],['A市']
反映A市金座雅居的一些问题,反映A市金座雅居的一些问题,A市 金座 雅居,A市,"['A市', '金座', '雅居']","['A市A5区洞井', '高升', 'A5区', '黄泥河', '洞井', '丰园', '高升']",['A市']
A市高铁南站中午没人办理临时身份证,A市高铁南站中午没人办理临时身份证,A市 高铁 南站 中午 办理 临时 身份证,A市,"['A市', '南站', '高铁', '身份证', '中午']",['A市A3区天麓尚层小区底商'],['A市高铁南站']
投诉A市一中高一年级通过家委会各种收费,投诉A市一中高一年级通过家委会各种收费,投诉 A市 一中 高一 年级 家委会 收费,A市,"['A市', '家委会', '年级', '高一', '一中']",[],['A市']
A市能不能放宽下首套房购房的限制,A市能不能放宽下首套房购房的限制,A市 放宽 下首 套房 购房,A市,"['A市', '下首', '套房', '放宽', '购房']",[],['A市']
A市韶峰星苑小区居民被A1区路上的大货车吵得无法入睡,A市韶峰星苑小区居民被A1区路上的大货车吵得无法入睡,A市 韶峰 星苑 小区 居民 A1区 路上 货车 吵得 入睡,A市,"['A市', '韶峰', '星苑', 'A1区', '吵得']","['楚府', '楚府']","['A市韶峰星苑小区居民', 'A1区']"
A市高配置的电动老年代步车为何不能上牌？,A市高配置的电动老年代步车为何不能上牌,A市 高 配置 电动 老年 代步车 牌,A市,"['代步车', 'A市', '老年', '电动', '配置']","['A市', '雷锋']",['A市']
请问A市通过学历落户需要稳定的就业凭证指什么,请问A市通过学历落户需要稳定的就业凭证指什么,请问 A市 学历 落户 稳定 就业 凭证 指,A市,"['A市', '学历', '凭证', '落户', '请问']","['洋湖', '洋湖', '含浦派出所', '含浦派出所', '含浦派出所', 'A市']",['A市']
A市五矿万境K9县房子的墙壁又开裂了,A市五矿万境K9县房子的墙壁又开裂了,A市 五矿 万境 K9 县 房子 墙壁 开裂,A市,"['A市', '万境', 'K9', '五矿', '开裂']","['A1区东湖', '合平路']",['A市']
A市鹏鲲教育集团拖欠款项,A市鹏鲲教育集团拖欠款项,A市 鹏鲲 教育 集团 拖欠款项,A市,"['A市', '鹏鲲', '拖欠款项', '教育', '集团']","['楚龙街道盛地', '排污沟']",['A市鹏鲲教育集团']
投诉A市恒大御景天下城二期小区建设违规,投诉A市恒大御景天下城二期小区建设违规,投诉 A市 恒大御景 天下 城 二期 小区 建设 违规,A市,"['A市', '恒大御景', '二期', '投诉', '小区']","['A4区', '坪街道城管']",['A市']
A市汉王陵考古公园一期周边常年乱搭乱建，杂草丛生,A市汉王陵考古公园一期周边常年乱搭乱建杂草丛生,A市 汉王 陵 考古 公园 一期 周边 常年 乱 搭乱建 杂草丛生,A市,"['A市', '搭乱建', '杂草丛生', '汉王', '常年']","['A1区', '马王堆', '汉城']",['A市汉王陵']
希望A市能优化购房政策,希望A市能优化购房政策,希望 A市 优化 购房 政策,A市,"['A市', '购房', '优化', '希望', '政策']","['A市A3区枫林三路西地省涉外经济学院外街小铁门处学校', '外街']",['A市']
A市潇楚南路左转联丰路红绿灯时长不合理,A市潇楚南路左转联丰路红绿灯时长不合理,A市 潇楚 南路 左转 联丰路 红绿灯 时 长 不合理,A市,"['A市', '潇楚', '联丰路', '左转', '红绿灯']","['A8县市公安局', 'A8县', 'A8县', 'A8县']",['A市潇楚南路']
A市五一路袁家岭佳兆业广场施工跟放炮一样,A市五一路袁家岭佳兆业广场施工跟放炮一样,A市 五一路 袁家岭 佳兆业 广场 施工 放炮,A市,"['五一路', 'A市', '袁家岭', '佳兆业', '放炮']",[],['A市五一路袁家岭']
A市高新区金领公寓每天停水,A市高新区金领公寓每天停水,A市 高新区 金领 公寓 停水,A市,"['A市', '金领', '停水', '高新区', '公寓']","['自城', '自城']",['A市']
A市河西附近的宾馆赌博问题严重,A市河西附近的宾馆赌博问题严重,A市 河西 宾馆 赌博,A市,"['A市', '宾馆', '赌博', '河西']","['A市慈济医院', '慈济医院']",['A市河西']
A市地铁3号线星沙大道站地铁出入口设置极不合理！,A市地铁3号线星沙大道站地铁出入口设置极不合理,A市 地铁 3号线 星沙 大道 站 地铁 出入口 设置 不合理,A市,"['地铁', 'A市', '3号线', '星沙', '出入口']","['A市', 'A市', 'A市', 'A市']",['A市']
A市高新区金领公寓最近经常停水,A市高新区金领公寓最近经常停水,A市 高新区 金领 公寓 停水,A市,"['A市', '金领', '停水', '高新区', '公寓']",[],['A市']
投诉A市楚熙水郡拖延办理公积金贷款,投诉A市楚熙水郡拖延办理公积金贷款,投诉 A市 楚熙 水 郡 拖延 办理 公积金 贷款,A市,"['A市', '楚熙', '公积金', '拖延', '投诉']",['A1区朝阳街道朝阳'],['A市']
投诉A市海伦春天不按承诺退房,投诉A市海伦春天不按承诺退房,投诉 A市 海伦 春天 承诺 退房,A市,"['A市', '海伦', '退房', '投诉', '春天']","['A7县恒大翡翠华庭首', '金碧']",['A市海伦']
在A市入党需要家属政审材料问题的咨询,在A市入党需要家属政审材料问题的咨询,A市 入党 家属 政审 材料 咨询,A市,"['A市', '政审', '入党', '家属', '咨询']",['灰埠'],['A市']
A市A9市河隧道长期有人夜间飙车，严重影响居民休息,A市A9市河隧道长期有人夜间飙车严重影响居民休息,A市 A9 市河 隧道 长期 有人 夜间 飙车 影响 居民 休息,A市,"['A市', 'A9', '市河', '飙车', '隧道']","['A7县', '东路', '十路', '九路', 'A7县医健建设投资有限公司', 'A市', 'A7县自然资源局A7县自然资源局', 'A7县', 'A7县政府']",['A市']
A市舒适体游泳健身中心没有卫生许可证,A市舒适体游泳健身中心没有卫生许可证,A市 舒适 体 游泳 健身 中心 卫生 许可证,A市,"['A市', '健身', '许可证', '游泳', '舒适']",['泉塘'],['A市']
A市一学生中考提前科的成绩怎么变成C了？,A市一学生中考提前科的成绩怎么变成C了,A市 学生 中考 提前 科 成绩 C,A市,"['A市', '中考', '成绩', '提前', '学生']","['西地省中医药高等专科学校云龙校区', '西地省', '高专云龙', '西地省', '高专云龙']",['A市']
A市地铁可不可以增加扫码闸口,A市地铁可不可以增加扫码闸口,A市 地铁 可不可以 增加 扫码 闸口,A市,"['A市', '扫码', '闸口', '可不可以', '地铁']",[],['A市']
A市加快招商引资步伐有何具体行动,A市加快招商引资步伐有何具体行动,A市 加快 招商引资 步伐 有何,A市,"['A市', '有何', '招商引资', '步伐', '加快']","['黄都港', '黄都港', 'A市政府', '黄都港', '何必']",['A市']
A市金邻公寓晚间停水近2月，严重影响生活,A市金邻公寓晚间停水近2月严重影响生活,A市 金邻 公寓 晚间 停水 影响 生活,A市,"['A市', '金邻', '停水', '公寓', '晚间']","['龙湾小学', 'A2区', '龙湾小学', '龙湾小学', 'A市A2区暮云街道学校', '龙湾小学', '龙湾', '哈佛', '格兰', '龙湾', '哈佛', '龙湾小学', '国强', '龙湾小学', '龙湾小学']",['A市金邻公寓']
A市北二环与A4区大道交界附近有三处超高减速带,A市北二环与A4区大道交界附近有三处超高减速带,A市 北二环 A4区 大道 交界 三处 超高 减速带,A市,"['北二环', '减速带', 'A市', 'A4区', '超高']",[],"['A市北二环', 'A4区']"
A市地铁4号线月亮岛地铁口出行交通不便,A市地铁4号线月亮岛地铁口出行交通不便,A市 地铁 4号线 月亮 岛 地铁口 出行 交通不便,A市,"['地铁口', 'A市', '4号线', '交通不便', '地铁']","['A市', 'A市', '吉安', '李姓', '于天']",['A市']
建议A市1路车的终点站延伸到碧沙湖的地铁站,建议A市1路车的终点站延伸到碧沙湖的地铁站,建议 A市 路车 终点站 延伸 碧 沙湖 地铁站,A市,"['A市', '路车', '沙湖', '地铁站', '终点站']","['A市公安局A4区分局', '刘科', '廖家', 'A市公安局A4区分局', 'A市公安局A4区分局', 'A市公安局A4区分局', 'A市', 'A市公安局A4区分局', '朱等', 'A市', 'A市A4区分局', 'A市', '罗伟红及', '西地省金册律师事务所律师', 'A4区', '刘科', 'A市', 'A市', '刘科', 'A市', '刘科', 'A市', '刘科', 'A市', '刘科', 'A4区公安局', '罗伟红及', 'A4区', 'A4区公安局', '经侦大队', '刘科', '刘科', '刘科', '经侦大队', 'A市', 'A市', '西地', '政法委A市纪委A市政法委', '西地省', 'A市', 'A市公安局公安厅纪委', '刘科']","['A市', '沙湖']"
咨询A市高升路往东向延伸等相关问题,咨询A市高升路往东向延伸等相关问题,咨询 A市 高升 路往 东向 延伸 相关,A市,"['A市', '路往', '高升', '延伸', '咨询']","['A市', 'A市', 'A市', 'A市', 'A市']",['A市高升']
咨询A市高升路往东向延伸等相关问题,咨询A市高升路往东向延伸等相关问题,咨询 A市 高升 路往 东向 延伸 相关,A市,"['A市', '路往', '高升', '延伸', '咨询']","['楚仪', '楚仪路咸嘉湖', '重阳']",['A市高升']
A市才子小区低层居民长期在高峰期无水可用,A市才子小区低层居民长期在高峰期无水可用,A市 才子 小区 低层 居民 长期 高峰期 无水 可用,A市,"['A市', '低层', '无水', '才子', '高峰期']","['A市A4区楚江大道', '龙福路', 'A4区']",['A市']
A市702公交车难等,A市702公交车难等,A市 702 公交车 难,A市,"['A市', '702', '公交车']","['A7县金科时代中心业主', '金科公园道路附近金科时代中心小区东升路靠', '中茂城', 'A7县', 'A7县金科时代中心小区', 'A7县金科时代小区良知']",['A市']
A市富绿物业丽发新城强行断业主家水,A市富绿物业丽发新城强行断业主家水,A市 富绿 物业 丽发 新城 强行 断 业主 家水,A市,"['A市', '富绿', '丽发', '家水', '新城']","['A市', 'A市', 'A市A4区秀峰']",['A市']
请A市加快片区均衡发展步伐,请A市加快片区均衡发展步伐,请 A市 加快 片区 均衡 发展 步伐,A市,"['A市', '片区', '均衡', '步伐', '加快']",['滨江'],['A市']
不要让A市因为58车贷案件而臭名远扬,不要让A市因为58车贷案件而臭名远扬,A市 58 车贷 案件 臭名远扬,A市,"['A市', '58', '车贷', '臭名远扬', '案件']","['滨江', '滨江', '滨江', '滨江', 'A市政府A市住房', 'A市', '冶集团']",['A市']
A市全装修扰乱市场秩序,A市全装修扰乱市场秩序,A市 全 装修 扰乱 市场秩序,A市,"['A市', '市场秩序', '扰乱', '装修']","['刘瑶琼', 'A市A2区五矿格兰', 'A市']",['A市']
A市绿地香树花城小区公积金贷款难,A市绿地香树花城小区公积金贷款难,A市 绿地 香树 花城 小区 公积金 贷款 难,A市,"['A市', '香树', '花城', '绿地', '公积金']","['A4区长雅中学', '张老师']",['A市']
A市市政建设开发有限公司违规操作铁广职工住宅项目,A市市政建设开发有限公司违规操作铁广职工住宅项目,A市 市政建设 开发 有限公司 违规操作 铁广 职工 住宅 项目,A市,"['A市', '铁广', '违规操作', '市政建设', '职工']",[],['A市市政建设开发有限公司']
咨询A市A1区大道快改时间表,咨询A市A1区大道快改时间表,咨询 A市 A1区 大道 快改 时间表,A市,"['A市', 'A1区', '快改', '时间表', '大道']",['向西地省'],['A市A1区']
A市自然村村民房屋后护坡垮塌，严重威胁我的安全,A市自然村村民房屋后护坡垮塌严重威胁我的安全,A市 自然村 村民 房屋 护坡 垮塌 严重威胁,A市,"['A市', '护坡', '垮塌', '自然村', '严重威胁']",['向西地省'],['A市']
A市梅庭雅苑小区隔壁施工队半夜施工扰民,A市梅庭雅苑小区隔壁施工队半夜施工扰民,A市 梅庭雅苑 小区 隔壁 施工队 半夜 施工 扰民,A市,"['A市', '梅庭雅苑', '施工队', '扰民', '隔壁']","['东四', '时东', '五路']",['A市梅庭雅苑小区隔壁施工队']
A市银杉路和银星路交汇口红绿灯常年都是摆设,A市银杉路和银星路交汇口红绿灯常年都是摆设,A市 银杉 路 银星 路 交汇 口 红绿灯 常年 摆设,A市,"['A市', '银星', '红绿灯', '银杉', '摆设']","['西地省', '栖凤', '栖凤路', '栖凤路从南到北', '栖凤路']",['A市银杉路']
A市交警推出的12123app不实用,A市交警推出的12123app不实用,A市 交警 推出 12123app 实用,A市,"['A市', '12123app', '交警', '实用', '推出']","['龙江路', '龙江路', 'A8县']",['A市']
A市十方尚品美术培训机构收费贵,A市十方尚品美术培训机构收费贵,A市 十方 尚品 美术 培训 机构 收费 贵,A市,"['A市', '尚品', '十方', '美术', '收费']","['及村', 'A7县黄花镇梁坪村', '所县', 'A7县黄花镇梁坪村', 'A7县黄花镇梁坪村民委员会', '证县', '林权', '何伟明', '何伟明', '何伟明', '何伟明', '何伟明', '农林局', 'A7县黄花镇梁坪村民主村民组']",['A市']
咨询A市人才购房补助发放问题,咨询A市人才购房补助发放问题,咨询 A市 人才 购房 补助 发放,A市,"['A市', '补助', '购房', '发放', '咨询']","['A7县中南汽车市场A7县楚龙兆远', '4s店', 'A市中南', 'A7县法院', '西地省', '三区一号楼', '胡喆']",['A市']
反映A市洋湖湿地公园环境问题,反映A市洋湖湿地公园环境问题,A市 洋湖 湿地 公园 环境,A市,"['A市', '洋湖', '湿地', '公园', '环境']","['A7县楚龙兆远', '4s店', 'A7县楚龙兆远二手车行都', 'A7县', 'A7县楚龙兆远', 'A7县楚龙兆远', '小白', '上海', '浙江', '于情于理', '西地省', '三区一号楼', '胡喆']",['A市洋湖']
A市四方坪商贸城A7到A9栋卖小菜商家每天大早就试用高音喇叭卖菜,A市四方坪商贸城A7到A9栋卖小菜商家每天大早就试用高音喇叭卖菜,A市 四方 坪 商贸城 A7 A9 栋 卖 小菜 商家 早就 试用 高音喇叭 卖菜,A市,"['A市', 'A7', 'A9', '商贸城', '卖菜']","['A市南雅中学', '张老师', '梅田湖', 'A市南雅中学', 'A市', '张老师', '张老师', 'A市公司', '南雅中学纪检', 'A市教委', '南雅中学党委']",['A市四方坪商贸城']
A市广铁管辖范围内取得购房资格的职工购房为何还要绑定买车位？,A市广铁管辖范围内取得购房资格的职工购房为何还要绑定买车位,A市 广铁 管辖 购房 资格 职工 购房 绑定 买 车位,A市,"['购房', 'A市', '广铁', '车位', '绑定']","['A3区梅溪湖环湖路沿文化艺术中心', '揽秀城']",['A市广铁']
咨询A市购房资格审核问题,咨询A市购房资格审核问题,咨询 A市 购房 资格 审核,A市,"['A市', '购房', '审核', '资格', '咨询']","['A2区', '高云', '高云', 'A2区']",['A市']
票牛A市分公司不肯退我草莓音乐节的票钱怎么办,票牛A市分公司不肯退我草莓音乐节的票钱怎么办,票牛 A市 分公司 不肯 退 草莓 音乐节 票 钱,A市,"['票牛', 'A市', '音乐节', '草莓', '分公司']",['A4区'],['A市']
A市南站候车厅内增设改签窗口的建议,A市南站候车厅内增设改签窗口的建议,A市 南站 候车厅 增设 改签 窗口 建议,A市,"['候车厅', 'A市', '改签', '南站', '增设']",['胡华衡'],['A市南站']
A市中海国际社区有房有户小孩无法上中海幼儿园,A市中海国际社区有房有户小孩无法上中海幼儿园,A市 中海 国际 社区 有房 有户 小孩 中海 幼儿园,A市,"['中海', 'A市', '有户', '有房', '幼儿园']","['A市', 'A8县', '罗凯', 'A市', 'A8县']",['A市中海国际社区有房']
由于A市房产限售政策，让我无法自由处置房产,由于A市房产限售政策让我无法自由处置房产,A市 房产 限售 政策 自由 处置 房产,A市,"['房产', 'A市', '限售', '处置', '自由']","['A市A1区', 'A1区政府']",['A市']
A市洒水车水枪把汽车油漆弄坏了找谁索赔？,A市洒水车水枪把汽车油漆弄坏了找谁索赔,A市 洒水车 水枪 汽车 油漆 弄坏了 找 索赔,A市,"['洒水车', 'A市', '弄坏了', '水枪', '索赔']",['楚仪学校'],['A市']
A市先导共享汽车爆胎，告知要我赔偿钢圈费,A市先导共享汽车爆胎告知要我赔偿钢圈费,A市 先导 共享 汽车 爆胎 告知 赔偿 钢圈 费,A市,"['钢圈', 'A市', '爆胎', '先导', '共享']",['A8县星河湾'],['A市']
A市万科金域蓝湾开发商恶意欺骗消费者,A市万科金域蓝湾开发商恶意欺骗消费者,A市 万科 金域 蓝湾 开发商 恶意 欺骗 消费者,A市,"['A市', '金域', '蓝湾', '恶意', '欺骗']",['A市梅溪湖'],['A市万科金域蓝湾开发商']
A市融圣国际长城物业动用水枪、灭火器在小区内斗殴,A市融圣国际长城物业动用水枪灭火器在小区内斗殴,A市 融圣 国际 长城 物业 动用 水枪 灭火器 区内 斗殴,A市,"['A市', '融圣', '灭火器', '水枪', '斗殴']","['A3区', '西城龙庭小区']","['A市', '长城']"
请A市加快陵王公园周边整治刻不容缓,请A市加快陵王公园周边整治刻不容缓,请 A市 加快 陵王 公园 周边 整治 刻不容缓,A市,"['A市', '陵王', '刻不容缓', '整治', '周边']",['五楼'],['A市']
恳请增加A市火车站到星沙的夜间公交车,恳请增加A市火车站到星沙的夜间公交车,恳请 增加 A市 火车站 星沙 夜间 公交车,A市,"['A市', '星沙', '恳请', '公交车', '火车站']","['A7县果园镇果覆车', '几口']",['A市']
请A市加快流动摊位试点,请A市加快流动摊位试点,请 A市 加快 流动 摊位 试点,A市,"['A市', '摊位', '试点', '流动', '加快']","['A8县市资福中学', '陈云', '资福中学', '周峰立']",['A市']
建议增加A市火车站到星沙的夜间公交车,建议增加A市火车站到星沙的夜间公交车,建议 增加 A市 火车站 星沙 夜间 公交车,A市,"['A市', '星沙', '公交车', '火车站', '夜间']","['A7县', 'A7县']",['A市']
A市美麓阳光没有取得验收就交房,A市美麓阳光没有取得验收就交房,A市 美麓 阳光 验收 交房,A市,"['A市', '美麓', '交房', '验收', '阳光']","['西地省A市A1区', 'A1区政府', '东阳实业有限公司', '四家公司', '李可', '建安新商汇业主委员会', '新商汇业主委员会', 'A市', '蔬菜批发公司物流公司移动公司', 'A1区政府']",['A市']
关于A市洪山公园的几点疑惑,关于A市洪山公园的几点疑惑,A市 洪山 公园 几点 疑惑,A市,"['A市', '洪山', '几点', '疑惑', '公园']",[],['A市洪山公园']
请加快对A市不合规网约车的治理！,请加快对A市不合规网约车的治理,请 加快 A市 合规 网约车 治理,A市,"['A市', '网约车', '合规', '治理', '加快']",['杨家山'],['A市']
还A市民一片绿地，谁有权在公园肆意毁草地建私家停车位,还A市民一片绿地谁有权在公园肆意毁草地建私家停车位,A市 民 绿地 有权 公园 肆意 毁 草地 建 私家 停车位,A市,"['A市', '停车位', '私家', '肆意', '绿地']",['A市A3区枫林路奥园'],[]
A市A3区兰亭湾畔小区违法开餐厅,A市A3区兰亭湾畔小区违法开餐厅,A市 A3区 兰亭 湾畔 小区 违法 开 餐厅,A市,"['A市', 'A3区', '湾畔', '兰亭', '餐厅']","['北二环', '中青路', '青路', '中青路', '中青路', '中青路', '中青路', '中青路']",['A市A3区兰亭湾畔']
A市民交契税4年后为什么不能买第二套？,A市民交契税4年后为什么不能买第二套,A市 民交 契税 年 买 第二套,A市,"['A市', '民交', '第二套', '契税']","['A4区楚春路', 'A市']",['A市']
A市火车南站公安值班人员态度差,A市火车南站公安值班人员态度差,A市 火车 南站 公安 值班人员 态度 差,A市,"['A市', '值班人员', '南站', '公安', '火车']",[],['A市火车南站公安']
建议在A市人民东路红旗路路口新建立交桥,建议在A市人民东路红旗路路口新建立交桥,建议 A市 东路 红旗路 路口 新建 立交桥,A市,"['红旗路', 'A市', '立交桥', '东路', '路口']",['A市高新区金南家园'],"['A市', '东路红旗路']"
A市时代年华项目被责令限期整改，请问是否真的实施？,A市时代年华项目被责令限期整改请问是否真的实施,A市 时代 年华 项目 责令 限期 整改 请问 真的 实施,A市,"['A市', '年华', '限期', '责令', '整改']",['中国'],['A市']
咨询A市计算机技术与软件专业技术资格与职称对应与评定问题,咨询A市计算机技术与软件专业技术资格与职称对应与评定问题,咨询 A市 计算机技术 软件 专业 技术资格 职称 评定,A市,"['A市', '技术资格', '职称', '计算机技术', '评定']","['A市A4区楚', 'A1区北路A1区北路']",['A市']
A市顺宇显示技术有限公司直以来违规作业，公司基层员工长期超时加班,A市顺宇显示技术有限公司直以来违规作业公司基层员工长期超时加班,A市 顺宇 显示 技术 有限公司 直 违规 作业 公司 基层 员工 长期 超时 加班,A市,"['A市', '顺宇', '超时', '加班', '基层']",['积溪'],['A市顺宇显示技术有限公司']
A市才子佳郡西侧外墙有人随意倾倒垃圾,A市才子佳郡西侧外墙有人随意倾倒垃圾,A市 才子 佳 郡 西侧 外墙 有人 随意 倾倒垃圾,A市,"['倾倒垃圾', 'A市', '外墙', '才子', '西侧']",['中海'],['A市']
A市地铁2号线梅溪湖西站的3号出口何时会修？,A市地铁2号线梅溪湖西站的3号出口何时会修,A市 地铁 2号线 梅 溪湖 西站 号 出口 会修,A市,"['溪湖', 'A市', '2号线', '会修', '西站']","['中海', '湖北', '五星村', '于洋', '去洋湖']",['A市地铁2号线梅溪湖西站']
请督促A市中院跟进超期未判的（2018）楚0103民初1057号一案,请督促A市中院跟进超期未判的2018楚0103民初1057号一案,请 督促 A市 中院 跟进 超期 未判 2018 楚 0103 民初 1057 号 一案,A市,"['未判', '超期', 'A市', '2018', '0103']","['A2区九峰', '但村', '但村', 'A2区']",['A市中院']
咨询A市办理户口迁出可以在网上申请办理吗？,咨询A市办理户口迁出可以在网上申请办理吗,咨询 A市 办理 户口 迁出 网上 申请 办理,A市,"['办理', 'A市', '迁出', '户口', '咨询']","['东山湾路', 'A市', '莲坪', '东山湾路', '莲坪', '望江', '东山湾路']",['A市']
对A市n108公交车线路建议,对A市n108公交车线路建议,A市 n108 公交车 线路 建议,A市,"['A市', 'n108', '公交车', '线路', '建议']","['A市', '西地省A市新民路', '西地省', '西地省', 'A市公安局', '李某', 'A市', 'A市', 'A市', 'A市燃星健身公司', '李秋', '黄原', '李秋黄', 'A市', '高校西地省大学西地省师范大学中南大学西地省中医药大学']",['A市']
请解决A市彩虹都物业纠纷案子久拖未判决的问题,请解决A市彩虹都物业纠纷案子久拖未判决的问题,请 解决 A市 彩虹 物业 纠纷 案子 久拖 未 判决,A市,"['久拖', 'A市', '彩虹', '案子', '判决']",[],['A市']
A市北辰三角洲E5区因房屋品质问题导致外墙渗水严重,A市北辰三角洲E5区因房屋品质问题导致外墙渗水严重,A市 北辰 三角洲 E5 区因 房屋 品质 导致 外墙 渗水,A市,"['A市', 'E5', '区因', '外墙', '北辰']","['A市A6区金地', 'A市']",['A市北辰']
A市蓝色港湾小区新水表数据不对,A市蓝色港湾小区新水表数据不对,A市 蓝色 港湾 小区 新 水表 数据,A市,"['A市', '水表', '港湾', '蓝色', '小区']","['A3区西二环美联嘉园', '中海宏源公司']",['A市']
A市柠檬丽都小区A3栋商铺开了一家乐器工作室，超级闹腾,A市柠檬丽都小区A3栋商铺开了一家乐器工作室超级闹腾,A市 柠檬 丽都 小区 A3 栋 商铺 开 一家 乐器 工作室 超级 闹腾,A市,"['丽都', 'A市', 'A3', '工作室', '商铺']",['A市'],['A市柠檬丽都小区']
A市九峰公园还建不建？,A市九峰公园还建不建,A市 九峰 公园 建不建,A市,"['A市', '建不建', '九峰', '公园']","['滨湖东路', '东路望仙东路', '十路']",['A市九峰公园']
A市喜盈门范城玛朵奇门店因客户投诉拒绝赔付,A市喜盈门范城玛朵奇门店因客户投诉拒绝赔付,A市 喜盈门 范城玛朵 门店 客户 投诉 拒绝 赔付,A市,"['喜盈门', 'A市', '范城玛朵', '赔付', '门店']",['A7县文体中心乒羽中心'],['A市喜盈门范城玛朵']
A市中海国际社区三期北门前那条路大晚上的施工作业，太吵了！,A市中海国际社区三期北门前那条路大晚上的施工作业太吵了,A市 中海 国际 社区 三期 北 门前 那条 路大 晚上 施工 作业 太吵,A市,"['太吵', 'A市', '路大', '三期', '中海']","['A市', '博才小学']",['A市中海国际社区']
A市丽发新城小区附近搅拌站噪音扰民和污染环境,A市丽发新城小区附近搅拌站噪音扰民和污染环境,A市 丽发 新城 小区 搅拌站 噪音 扰民 污染环境,A市,"['A市', '丽发', '搅拌站', '扰民', '污染环境']","['A7县金科天悦小区', '日本', '李某', '李某', '王某', '李某', '李某', '日本', '郑某', '郑某', '日本', '郑某', '日本', '李某', '金科', '西地省金科景朝产业发展有限公司车位销售公司A市龙舌兰房地产咨询有限公司']","['A市', '新城']"
A市兴成业房地产公司联合联通垄断小区通讯,A市兴成业房地产公司联合联通垄断小区通讯,A市 兴成业 房地产 公司 联合 联通 垄断 小区 通讯,A市,"['A市', '兴成业', '联通', '小区', '通讯']","['A市长郡楚府中学', '楚府中学', '长郡', '楚府中学']",['A市兴成业房地产公司']
咨询A市人才购房补贴政策,咨询A市人才购房补贴政策,咨询 A市 人才 购房 补贴 政策,A市,"['A市', '购房', '补贴', '咨询', '人才']","['A市公共资源交易中心', '云湖路', '北路', 'A市公共资源交易中心', 'A市A4区青环', '兴联路', 'A市公共资源交易中心', 'A市公共资源交易中心']",['A市']
A市明日传媒中介收了钱不办事，感觉我被套路了,A市明日传媒中介收了钱不办事感觉我被套路了,A市 明日 传媒 中介 收 钱 办事 感觉 套路,A市,"['A市', '套路', '传媒', '中介', '办事']","['A7县委', '徐萍']",['A市']
